"OTU"	"Discrete"	"Continuous"	"Level1"	"N_level1"	"Level2"	"N_level2"	"mean.level1"	"mean.level2"	"median.level1"	"median.level2"	"sd.level1"	"sd.level2"	"statistic"	"EffectSize_r"	"p.value"	"N"	"Dominant"	"q.value"
"s_Brotaphodocola_sp003478505"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.128339920501643	0	0	0	0.284052228896473	0	510	0.314028684986621	0.00339842470812759	57	"B2"	0.00682640093545628
"s_Holdemania_filiformis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.587967262786371	0.183335114806133	0.621899472156091	0	0.504175625577833	0.249482207150477	578	0.461324363456089	0.00396462116031209	57	"B1"	0.0078950645520008
"s_Butyribacter_sp003529475"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.111123961380818	0.0158024441037037	0	0	0.170168101609873	0.0865535509931303	524	0.33970531251691	0.00427823679253273	57	"B2"	0.00844677520576975
"s_Luxibacter_massiliensis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	1.52412587159296	0	0	0	4.28448269194534	297	0.239508507439328	0.00444680060798884	57	"B2"	0.00851872239166142
"s_Enterococcus_faecalis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.191690594953617	0	0	0	0.470547391983724	297	0.271820759541539	0.00444680060798884	57	"B2"	0.00851872239166142
"s_Hominiventricola_sp018223365"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.25089921412457	0	0	0	0.43370453971592	297	0.372042874889408	0.00444680060798884	57	"B2"	0.00851872239166142
"s_Eggerthella_lenta"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.00505438835486032	0.0722143595439642	0	0	0.0262633722954077	0.124158523646739	282	0.344995675483986	0.00448033634493464	57	"B2"	0.00851872239166142
"s_Enterocloster_clostridioformis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	26.25372583424	5.66993671287761	23.9310317938056	0.00127393097982244	24.325222566046	16.3588839071663	576.5	0.450346021870058	0.00449906550555278	57	"B1"	0.00851872239166142
"s_Parabacteroides_distasonis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	24.8572302941711	35.9821634626124	23.3080526600109	31.4769863506215	8.34166648440189	18.1590273289411	234	0.362756724187762	0.0057859308811224	57	"B2"	0.0108662604352786
"s_Alitiscatomonas_sp900066535"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	5.20897572071783	1.99917074570611	4.44446689555154	0	5.40493409053752	3.64970500498165	563	0.333632132300324	0.00690991309209264	57	"B1"	0.0128724993893016
"s_Paramuribaculum_sp910588065"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0.0420199766877849	0	0	0	0.0877230229771773	0	495	0.330873842105273	0.00724898357070568	57	"B2"	0.0133961216386641
"s_Blautia_A_faecis"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	13.7852939938078	2.8798267810119	2.95194266832522	0	20.6057139884015	9.08248338037628	557.5	0.331363338146016	0.00741722419634925	57	"B1"	0.0135982443599736
"s_Bacteroides_sp902362375"	"enterotype"	"Abundance"	"B1"	27	"B2"	30	0	0.828522918241619	0	0	0	2.0023834257983	310.5	0.275757102965198	0.00841687976229796	57	"B2"	0.0153094427172506
